case;activity;start time;end time;resource;product;prod-price;quantity;address
56;place order;2015-01-13 17:32:03;2015-01-13 17:46:42;Sophia;SAMSUNG Galaxy S6 32 GB;543.99;2;NL-7948BX-10
9;send reminder;2015-01-13 18:05:48;2015-01-13 18:14:33;Abigail;APPLE iPhone 6 16 GB;639.0;3;NL-7828AM-11a
36;send invoice;2015-01-13 18:08:39;2015-01-13 18:17:05;Jack;MOTOROLA Moto E 4G;99.99;3;NL-9411ME-47
57;place order;2015-01-13 19:22:13;2015-01-13 19:35:34;Sophia;APPLE iPhone 6s 64 GB;858.0;2;NL-9402NV-25
22;send invoice;2015-01-13 19:57:28;2015-01-13 20:05:15;Lily;SAMSUNG Galaxy S4;329.0;2;NL-7908MH-44
58;place order;2015-01-13 22:20:40;2015-01-14 00:29:33;Lucas;APPLE iPhone 6 16 GB;639.0;4;NL-7905AX-38
59;place order;2015-01-14 08:29:35;2015-01-14 08:59:39;Luke;SAMSUNG Galaxy S4;329.0;2;NL-7833HT-15
31;send invoice;2015-01-14 09:58:20;2015-01-14 10:01:17;Emily;SAMSUNG Galaxy J5;219.99;2;NL-9403HL-27
60;place order;2015-01-14 10:32:30;2015-01-14 11:15:34;Isabella;APPLE iPhone 6 16 GB;639.0;3;NL-7751DG-21
42;send invoice;2015-01-14 10:37:44;2015-01-14 10:41:13;Emily;SAMSUNG Galaxy S4;329.0;2;NL-7905AX-38
27;send invoice;2015-01-14 11:43:47;2015-01-14 11:48:18;Lily;SAMSUNG Core Prime G361;135.0;4;NL-9521ET-30
47;send invoice;2015-01-14 11:53:48;2015-01-14 11:59:26;Jack;SAMSUNG Core Prime G361;135.0;4;NL-9521CT-28b
61;place order;2015-01-14 12:23:07;2015-01-14 15:53:15;Lucas;SAMSUNG Galaxy S4;329.0;3;NL-7742XG-17
62;place order;2015-01-14 14:04:21;2015-01-14 14:14:43;Sophia;APPLE iPhone 6 16 GB;639.0;3;NL-7948BX-10
33;send invoice;2015-01-14 14:22:52;2015-01-14 14:34:09;Chloe;SAMSUNG Galaxy S4;329.0;1;NL-7742XG-17
38;send invoice;2015-01-14 14:47:33;2015-01-14 14:53:10;Jack;SAMSUNG Galaxy J5;219.99;1;NL-7822AW-5
12;send reminder;2015-01-14 15:03:57;2015-01-14 15:25:14;Abigail;APPLE iPhone 6 16 GB;639.0;2;NL-7742XG-17
63;place order;2015-01-14 15:26:49;2015-01-14 15:30:39;Aiden;SAMSUNG Galaxy S4;329.0;3;NL-7908MH-44
7;send reminder;2015-01-14 15:47:10;2015-01-14 16:01:33;Abigail;MOTOROLA Moto G;199.0;4;NL-7742XG-17
44;send invoice;2015-01-14 16:19:10;2015-01-14 16:23:26;Lily;APPLE iPhone 5s 16 GB;449.0;2;NL-9405NP-33
64;place order;2015-01-14 17:11:45;2015-01-14 17:14:58;Emma;APPLE iPhone 6 16 GB;639.0;2;NL-7822AW-5
50;send invoice;2015-01-14 17:17:35;2015-01-14 17:25:29;Lily;SAMSUNG Galaxy S6 32 GB;543.99;4;NL-7751AR-19
52;send invoice;2015-01-14 17:27:07;2015-01-14 17:31:49;Jack;APPLE iPhone 6 16 GB;639.0;5;NL-7828AM-11a
58;send invoice;2015-01-14 17:58:30;2015-01-14 18:02:39;Lily;APPLE iPhone 6 16 GB;639.0;4;NL-7905AX-38
49;send invoice;2015-01-14 18:13:21;2015-01-14 18:17:12;Emily;APPLE iPhone 6 16 GB;639.0;4;NL-9521CT-28b
65;place order;2015-01-14 18:41:38;2015-01-14 18:58:27;Caleb;SAMSUNG Galaxy J5;219.99;2;NL-9411ME-47
66;place order;2015-01-14 21:41:08;2015-01-14 22:08:10;Luke;APPLE iPhone 6 16 GB;639.0;2;NL-9407EM-35
67;place order;2015-01-15 06:08:00;2015-01-15 06:11:17;Aiden;APPLE iPhone 6s 64 GB;858.0;3;NL-7887AC-13
41;send invoice;2015-01-15 08:34:14;2015-01-15 08:40:08;Lily;SAMSUNG Galaxy S4;329.0;3;NL-7948DN-12a
56;send invoice;2015-01-15 08:58:49;2015-01-15 09:04:27;Lily;SAMSUNG Galaxy S6 32 GB;543.99;2;NL-7948BX-10
68;place order;2015-01-15 09:44:55;2015-01-15 10:04:18;Luke;APPLE iPhone 5s 16 GB;449.0;3;NL-7833HT-15
14;send reminder;2015-01-15 10:35:11;2015-01-15 10:42:05;Abigail;SAMSUNG Core Prime G361;135.0;3;NL-7823JJ-7
13;send reminder;2015-01-15 11:43:54;2015-01-15 12:02:49;Abigail;APPLE iPhone 6 16 GB;639.0;4;NL-7822AW-5
69;place order;2015-01-15 11:47:58;2015-01-15 15:30:01;Lucas;SAMSUNG Core Prime G361;135.0;2;NL-7826GD-9
70;place order;2015-01-15 13:54:03;2015-01-15 14:07:21;Sophia;SAMSUNG Galaxy S4;329.0;1;NL-7833HT-15
20;send reminder;2015-01-15 15:52:40;2015-01-15 16:10:15;Luke;SAMSUNG Galaxy S4;329.0;4;NL-7821AC-3
71;place order;2015-01-15 16:06:13;2015-01-15 16:10:17;Aiden;APPLE iPhone 6s Plus 64 GB;969.0;2;NL-7905AX-38
21;send invoice;2015-01-15 16:35:50;2015-01-15 16:42:26;Lily;APPLE iPhone 6 16 GB;639.0;3;NL-7908MH-44
1;pay;2015-01-15 16:54:59;2015-01-15 16:59:55;Lily;SAMSUNG Galaxy S4;329.0;5;NL-7833HT-15
72;place order;2015-01-15 17:30:33;2015-01-15 17:35:13;Emma;SAMSUNG Galaxy S4;329.0;3;NL-7751AR-19
73;place order;2015-01-15 19:19:13;2015-01-15 19:26:03;Sophia;APPLE iPhone 5s 16 GB;449.0;3;NL-7742XG-17
48;send invoice;2015-01-15 19:20:23;2015-01-15 19:24:09;Lily;APPLE iPhone 6 16 GB;639.0;2;NL-7948DN-12a
39;send invoice;2015-01-15 19:43:01;2015-01-15 19:51:21;Alexander;APPLE iPhone 6 16 GB;639.0;2;NL-7908XB-46
74;place order;2015-01-15 22:14:41;2015-01-15 22:18:34;Aiden;APPLE iPhone 6 16 GB;639.0;2;NL-9514CC-18
75;place order;2015-01-16 08:17:36;2015-01-16 08:47:26;Luke;SAMSUNG Galaxy S4;329.0;3;NL-9411RD-49
51;send invoice;2015-01-16 09:03:01;2015-01-16 09:10:39;Lily;SAMSUNG Galaxy S4;329.0;4;NL-7833HT-15
76;place order;2015-01-16 10:14:32;2015-01-16 10:19:12;Aiden;SAMSUNG Galaxy J5;219.99;1;NL-9403JH-29
61;send invoice;2015-01-16 11:46:02;2015-01-16 11:53:14;Lily;SAMSUNG Galaxy S4;329.0;3;NL-7742XG-17
77;place order;2015-01-16 11:47:11;2015-01-16 12:10:09;Zoe;APPLE iPhone 6s 64 GB;858.0;3;NL-9514BV-16
25;send reminder;2015-01-16 12:43:45;2015-01-16 13:27:43;Luke;APPLE iPhone 6 16 GB;639.0;2;NL-9468HG-14
65;send invoice;2015-01-16 13:47:11;2015-01-16 13:49:11;Emily;SAMSUNG Galaxy J5;219.99;2;NL-9411ME-47
78;place order;2015-01-16 13:52:29;2015-01-16 14:32:52;Luke;SAMSUNG Galaxy S4;329.0;4;NL-7751GM-23
64;send invoice;2015-01-16 14:54:43;2015-01-16 15:05:02;Alexander;APPLE iPhone 6 16 GB;639.0;2;NL-7822AW-5
59;send invoice;2015-01-16 14:58:25;2015-01-16 15:04:28;Lily;SAMSUNG Galaxy S4;329.0;2;NL-7833HT-15
69;send invoice;2015-01-16 15:09:39;2015-01-16 15:23:28;Alexander;SAMSUNG Core Prime G361;135.0;2;NL-7826GD-9
72;send invoice;2015-01-16 15:32:33;2015-01-16 15:38:08;Jack;SAMSUNG Galaxy S4;329.0;3;NL-7751AR-19
79;place order;2015-01-16 16:03:05;2015-01-16 16:14:21;Sophia;SAMSUNG Galaxy S6 32 GB;543.99;6;NL-7943MC-4
4;pay;2015-01-16 16:15:02;2015-01-16 16:18:59;Emily;SAMSUNG Core Prime G361;135.0;3;NL-7751AR-19
23;send reminder;2015-01-16 16:31:56;2015-01-16 16:50:56;Abigail;APPLE iPhone 5s 16 GB;449.0;3;NL-9331MA-24
12;pay;2015-01-16 16:52:44;2015-01-16 17:02:17;Alexander;APPLE iPhone 6 16 GB;639.0;2;NL-7742XG-17
18;send reminder;2015-01-16 17:04:07;2015-01-16 17:24:40;Luke;SAMSUNG Core Prime G361;135.0;2;NL-7812LW-50
10;send reminder;2015-01-16 17:21:54;2015-01-16 17:53:41;Luke;APPLE iPhone 6s 64 GB;858.0;3;NL-7828AM-11a
80;place order;2015-01-16 17:24:17;2015-01-16 20:58:52;Lucas;APPLE iPhone 5s 16 GB;449.0;4;NL-7944RD-8
78;send invoice;2015-01-16 17:35:01;2015-01-16 17:42:42;Lily;SAMSUNG Galaxy S4;329.0;4;NL-7751GM-23
75;send invoice;2015-01-16 18:04:40;2015-01-16 22:27:59;Madelyn;SAMSUNG Galaxy S4;329.0;3;NL-9411RD-49
57;send invoice;2015-01-16 18:23:40;2015-01-16 18:31:40;Alexander;APPLE iPhone 6s 64 GB;858.0;2;NL-9402NV-25
81;place order;2015-01-16 19:06:42;2015-01-16 19:13:31;Sophia;APPLE iPhone 5s 16 GB;449.0;5;NL-7943MC-4
82;place order;2015-01-16 21:49:38;2015-01-16 22:04:04;Sophia;APPLE iPhone 6 16 GB;639.0;1;NL-9514CC-18
40;send invoice;2015-01-16 22:54:06;2015-01-16 22:59:34;Lily;APPLE iPhone 5s 16 GB;449.0;3;NL-9514BV-16
83;place order;2015-01-17 14:41:00;2015-01-17 14:48:02;Aiden;SAMSUNG Core Prime G361;135.0;4;NL-7833HT-15
84;place order;2015-01-18 14:59:12;2015-01-18 15:04:20;Aiden;SAMSUNG Core Prime G361;135.0;4;NL-9491BG-41
15;pay;2015-01-19 06:31:58;2015-01-19 06:36:13;Lily;SAMSUNG Galaxy S4;329.0;3;NL-7833HT-15
85;place order;2015-01-19 07:53:36;2015-01-19 08:00:55;Aiden;APPLE iPhone 6s 64 GB;858.0;6;NL-7833HT-15
43;send invoice;2015-01-19 08:58:59;2015-01-19 09:02:51;Lily;SAMSUNG Galaxy S4;329.0;3;NL-9468HG-14
2;pay;2015-01-19 10:01:39;2015-01-19 10:08:51;Lily;MOTOROLA Moto G;199.0;5;NL-7751DG-21
86;place order;2015-01-19 10:41:05;2015-01-19 10:46:32;Aiden;HUAWEI P8 Lite;234.0;3;NL-7944RD-8
53;send invoice;2015-01-19 11:03:35;2015-01-19 11:08:45;Jack;MOTOROLA Moto E 4G;99.99;2;NL-7931TV-36
60;send invoice;2015-01-19 11:05:02;2015-01-19 11:07:06;Emily;APPLE iPhone 6 16 GB;639.0;3;NL-7751DG-21
37;send reminder;2015-01-19 11:17:18;2015-01-19 11:40:10;Abigail;APPLE iPhone 5s 16 GB;449.0;1;NL-9766VB-39
30;send reminder;2015-01-19 11:22:52;2015-01-19 11:39:32;Abigail;MOTOROLA Moto E 4G;99.99;5;NL-7742XG-17
19;pay;2015-01-19 11:33:09;2015-01-19 11:39:02;Jack;APPLE iPhone 6 16 GB;639.0;3;NL-9408BM-37
73;send invoice;2015-01-19 11:45:39;2015-01-19 11:53:17;Lily;APPLE iPhone 5s 16 GB;449.0;3;NL-7742XG-17
87;place order;2015-01-19 12:40:17;2015-01-19 12:46:26;Sophia;APPLE iPhone 5s 16 GB;449.0;2;NL-9514BV-16
3;pay;2015-01-19 13:09:13;2015-01-19 13:15:41;Lily;APPLE iPhone 6 16 GB;639.0;7;NL-9402NV-25
55;send invoice;2015-01-19 14:12:47;2015-01-19 14:22:16;Jack;APPLE iPhone 6s 64 GB;858.0;3;NL-9511PN-20
88;place order;2015-01-19 14:38:42;2015-01-19 14:51:50;Olivia;SAMSUNG Core Prime G361;135.0;1;NL-7828AM-11a
54;send invoice;2015-01-19 14:53:37;2015-01-19 15:00:56;Lily;APPLE iPhone 5s 16 GB;449.0;2;NL-7823JJ-7
34;send reminder;2015-01-19 16:28:50;2015-01-19 16:50:36;Abigail;SAMSUNG Galaxy S4;329.0;3;NL-7823JJ-7
89;place order;2015-01-19 16:35:31;2015-01-19 16:47:13;Sophia;APPLE iPhone 6 16 GB;639.0;3;NL-7826GD-9
11;pay;2015-01-19 16:43:19;2015-01-19 16:47:24;Lily;APPLE iPhone 6 16 GB;639.0;4;NL-7821AC-3
24;send reminder;2015-01-19 17:41:30;2015-01-19 18:08:47;Luke;APPLE iPhone 6 16 GB;639.0;4;NL-9521GC-32
23;pay;2015-01-19 18:14:51;2015-01-19 18:19:16;Lily;APPLE iPhone 5s 16 GB;449.0;3;NL-9331MA-24
90;place order;2015-01-19 18:29:09;2015-01-19 18:34:38;Sophia;APPLE iPhone 5s 16 GB;449.0;2;NL-7823JJ-7
91;place order;2015-01-19 21:03:41;2015-01-19 21:12:15;Sophia;APPLE iPhone 6 16 GB;639.0;4;NL-7942GT-2
92;place order;2015-01-20 02:23:19;2015-01-20 06:28:20;Lucas;HUAWEI P8 Lite;234.0;6;NL-9407EM-35
70;send invoice;2015-01-20 09:13:06;2015-01-20 09:19:43;Jack;SAMSUNG Galaxy S4;329.0;1;NL-7833HT-15
93;place order;2015-01-20 09:37:46;2015-01-20 09:43:12;Aiden;APPLE iPhone 6s 64 GB;858.0;4;NL-9402NV-25
5;pay;2015-01-20 10:20:47;2015-01-20 10:27:04;Lily;APPLE iPhone 6s Plus 64 GB;969.0;3;NL-7918AE-48b
67;send invoice;2015-01-20 10:22:00;2015-01-20 10:27:09;Jack;APPLE iPhone 6s 64 GB;858.0;3;NL-7887AC-13
63;send invoice;2015-01-20 11:10:38;2015-01-20 11:16:41;Lily;SAMSUNG Galaxy S4;329.0;3;NL-7908MH-44
94;place order;2015-01-20 11:33:39;2015-01-20 11:46:05;Sophia;APPLE iPhone 6 16 GB;639.0;3;NL-9408BM-37
83;send invoice;2015-01-20 12:21:39;2015-01-20 12:27:47;James;SAMSUNG Core Prime G361;135.0;4;NL-7833HT-15
95;place order;2015-01-20 13:25:25;2015-01-20 13:32:51;Sophia;APPLE iPhone 6 16 GB;639.0;1;NL-7943MC-4
86;send invoice;2015-01-20 14:54:36;2015-01-20 15:02:19;Lily;HUAWEI P8 Lite;234.0;3;NL-7944RD-8
96;place order;2015-01-20 15:08:57;2015-01-20 15:35:08;Luke;SAMSUNG Core Prime G361;135.0;1;NL-9407EM-35
84;send invoice;2015-01-20 15:26:12;2015-01-20 15:32:40;Lily;SAMSUNG Core Prime G361;135.0;4;NL-9491BG-41
35;send reminder;2015-01-20 15:34:41;2015-01-20 15:52:06;Abigail;APPLE iPhone 6s Plus 64 GB;969.0;2;NL-7833HT-15
77;send invoice;2015-01-20 15:47:55;2015-01-20 15:57:12;Jack;APPLE iPhone 6s 64 GB;858.0;3;NL-9514BV-16
12;prepare delivery;2015-01-20 16:13:11;2015-01-20 16:20:56;Sophia;APPLE iPhone 6 16 GB;639.0;2;NL-7742XG-17
2;prepare delivery;2015-01-20 16:28:07;2015-01-20 16:31:43;Aiden;MOTOROLA Moto G;199.0;5;NL-7751DG-21
97;place order;2015-01-20 16:36:02;2015-01-20 21:18:16;Lucas;SAMSUNG Galaxy S4;329.0;5;NL-7751AR-19
9;send reminder;2015-01-20 17:04:44;2015-01-20 17:20:40;Abigail;APPLE iPhone 6 16 GB;639.0;3;NL-7828AM-11a
16;pay;2015-01-20 17:19:52;2015-01-20 17:32:10;Alexander;SAMSUNG Galaxy S4;329.0;3;NL-9403KD-31
22;send reminder;2015-01-20 18:09:49;2015-01-20 18:50:55;Luke;SAMSUNG Galaxy S4;329.0;2;NL-7908MH-44
46;send reminder;2015-01-20 18:17:29;2015-01-20 18:59:32;Luke;MOTOROLA Moto G;199.0;5;NL-7944RD-8
